time_ms,pointer,middle,ring,pinkie,ecg
1259,723,730,936,604
1269,724,731,938,599
1279,724,730,939,599
1289,724,730,935,602
1299,732,731,931,607
1308,731,727,933,608
1318,727,733,931,608
1328,728,732,935,602
1338,729,728,932,608
1347,723,728,929,607
1357,723,732,941,600
1367,728,733,936,601
1377,724,732,935,601
1386,722,732,938,598
1396,725,728,938,600
1406,729,733,930,608
1416,725,731,940,601
1425,725,732,932,600
1435,724,733,933,599
1445,724,731,931,603
1455,724,728,935,602
1465,728,730,934,604
1474,731,731,934,603
1484,731,725,936,598
1494,727,734,933,603
1504,728,727,932,606
1513,729,727,934,607
1523,726,734,930,603
1533,729,731,930,601
1543,729,732,932,608
1552,726,727,935,605
1562,724,733,938,599
1572,728,732,940,600
1582,729,734,930,606
1591,725,732,936,601
1601,725,729,938,601
1611,726,731,940,600
1621,727,730,941,600
1631,728,733,931,607
1640,729,731,931,610
1650,726,733,928,606
1660,729,734,933,605
1670,725,735,930,607
1679,726,732,931,606
1689,726,731,934,602
1699,726,728,938,600
1709,730,734,932,608
1718,724,730,935,607
1728,726,729,935,602
1738,725,732,941,601
1748,727,736,929,605
1758,732,726,937,609
1767,727,733,940,599
1777,731,731,929,603
1787,726,730,937,600
1797,727,732,932,603
1806,729,725,937,605
1816,728,735,931,599
1826,725,731,932,598
1836,730,727,936,609
1845,724,732,942,602
1855,728,733,931,605
1865,727,732,936,602
1875,725,733,936,601
1884,722,731,938,600
1894,729,729,935,598
1904,724,734,936,606
1914,726,731,939,602
1924,725,733,938,600
1933,726,736,933,609
1943,725,734,928,605
1953,727,733,935,602
1963,728,729,941,599
1992,631,634,934,484
2002,723,730,932,590
2011,726,724,935,596
2021,724,732,931,595
2031,727,729,930,597
2041,730,725,936,600
2050,725,732,938,596
2060,725,732,939,600
2070,729,727,935,605
2080,728,728,936,604
2090,727,728,928,595
2099,729,733,929,599
2109,730,732,933,605
2119,729,731,930,606
2129,723,731,936,600
2138,726,732,930,600
2148,722,729,940,597
2158,726,733,936,602
2168,728,726,934,606
2177,728,734,930,602
2187,726,732,940,597
2197,730,734,936,601
2207,725,732,934,601
2216,724,735,931,605
2226,727,729,937,603
2236,724,729,939,598
2246,729,734,930,605
2256,723,728,939,599
2265,725,730,938,600
2275,731,731,926,604
2285,726,733,932,599
2295,727,731,943,602
2304,732,727,930,601
2314,726,730,935,602
2324,728,731,928,602
2334,731,727,932,607
2343,723,727,935,601
2353,726,729,939,598
2363,724,729,936,597
2373,727,732,931,604
2383,727,731,934,600
2393,730,728,936,597
2403,729,730,928,604
2413,728,731,934,602
2423,725,733,938,598
2432,726,730,935,600
2442,725,731,933,602
2452,726,730,935,602
2462,726,731,932,601
2471,727,732,938,602
2481,731,729,930,608
2491,726,729,937,599
2501,732,731,931,608
2510,726,732,933,603
2520,729,736,928,600
2530,730,729,934,603
2540,732,731,929,607
2549,724,730,937,606
2559,725,731,936,599
2569,729,725,927,602
2579,730,727,933,604
2589,728,735,928,606
2598,728,734,934,602
2608,724,731,938,600
2618,732,726,937,604
2628,723,728,933,608
2637,723,732,934,602
2647,728,733,929,607
2657,729,730,935,599
2667,724,728,941,601
2676,727,730,940,599
2686,728,731,932,603
2696,727,734,928,606
2706,731,725,931,608
2716,729,733,926,603
2725,723,731,938,599
2735,727,731,928,602
2745,730,737,932,610
2755,727,734,931,611
2764,729,735,933,606
2774,727,727,938,600
2784,725,731,937,601
2794,728,735,932,608
2803,727,734,930,605
2813,724,732,934,597
2823,726,732,938,602
2833,723,731,937,600
2842,728,733,930,605
2852,728,729,932,606
2862,729,728,932,609
2872,726,729,935,603
2882,725,732,941,601
2891,724,732,938,601
2901,727,725,935,601
2911,726,733,937,597
2921,730,731,937,605
2930,727,735,932,606
2940,725,733,936,599
2950,731,729,934,601
2960,727,728,939,599
2989,628,636,936,474
2999,726,734,929,596
3008,725,732,932,596
3018,728,732,931,597
3028,726,730,933,599
3038,727,731,933,600
3048,728,728,936,598
3057,726,734,927,603
3067,730,727,937,596
3077,723,732,939,600
3087,731,729,932,605
3096,726,731,938,599
3106,730,732,937,597
3116,729,732,935,605
3126,727,729,939,596
3135,729,735,933,600
3145,724,730,937,600
3155,731,730,932,607
3165,728,726,936,601
3174,731,731,933,607
3184,727,733,928,598
3194,725,735,933,608
3204,729,732,934,607
3214,728,728,935,603
3223,728,734,929,602
3233,725,734,931,600
3243,728,736,933,609
3253,728,736,929,606
3262,727,734,934,598
3272,730,734,930,606
3282,729,731,929,606
3292,724,726,929,606
3301,728,736,934,605
3311,730,729,938,601
3321,725,730,935,601
3331,729,728,937,599
3341,729,732,929,602
3350,728,726,937,604
3360,732,728,934,606
3370,729,732,939,600
3380,724,732,936,597
3390,729,726,936,599
3400,732,727,932,609
3410,728,734,929,608
3420,725,727,931,606
3429,724,730,937,608
3439,726,733,930,603
3449,728,733,933,607
3459,725,733,931,603
3468,726,730,930,602
3478,725,734,927,603
3488,727,731,930,606
3498,729,727,938,606
3508,732,729,934,606
3517,726,732,936,599
3527,723,727,936,598
3537,728,727,937,607
