24149,3119,1695,1111,4095
24169,3083,1965,1259,4095
24189,3187,2479,1659,667
24209,3341,3213,2217,0
24229,3407,3999,2735,141
24249,3187,4095,3115,1637
24269,2455,4095,3335,2165
24289,1335,3566,3383,0
24309,251,2979,3369,0
24329,0,2443,3237,442
24349,0,2044,3039,3155
24369,0,1772,2835,3876
24389,532,1640,2668,1170
24409,1814,1647,2539,346
24429,2988,1700,2454,1493
24449,3989,1743,2387,4095
24469,4095,1851,2365,3961
24489,4095,1961,2379,1433
24509,4095,2019,2361,244
24529,4095,1902,2355,1480
24549,4095,1515,2367,4095
24569,4095,879,2472,4095
24589,4055,247,2664,1771
24609,3351,0,2918,1365
24629,2683,0,3133,1877
24649,1958,0,3191,4095
24669,1106,0,3119,3861
24689,0,0,2907,1261
24709,0,0,2613,481
24729,0,255,2301,1885
24749,0,758,1995,4095
24769,0,1205,1715,3933
24789,0,1612,1519,1147
24809,0,1881,1479,169
24829,701,2023,1544,2031
24849,1966,2069,1645,4095
24869,2567,2025,1812,3519
24889,2695,1892,1926,793
24909,2635,1741,1978,105
24929,2488,1614,1975,1388
24949,2383,1530,1885,4041
24969,2347,1512,1747,3826
24989,2296,1541,1638,1134
25009,2138,1615,1525,559
36477,2038,1771,2885,1715
36497,2456,1384,2903,4095
36517,2663,951,2803,3932
36537,2687,895,2601,2273
36557,2639,1379,2335,2476
36577,2519,2515,2099,1589
36597,2294,4095,1873,4095
36617,1939,4095,1617,4095
36637,1495,4095,1365,1801
36657,1141,4095,1162,532
36677,924,4095,999,2167
36697,715,4095,803,4095
36717,421,4095,479,4095
36737,115,4095,99,2552
36757,0,4095,0,1221
36777,0,4095,0,2381
36797,0,4095,0,4095
36817,0,4095,0,4095
36837,0,4095,0,1491
36857,0,4095,0,0
36877,0,4095,0,967
36897,0,4095,0,3895
36917,0,4095,0,3799
36937,0,4095,0,751
36957,0,4095,0,0
36977,0,4095,0,850
36997,0,4095,0,4020
37017,0,2467,0,3240
37037,649,839,0,617
37057,1371,0,0,0
37077,2045,0,0,955
37097,2584,0,0,3687
37117,2863,0,0,3314
37137,3100,527,0,843
37157,3399,1161,0,0
37177,3845,1631,0,1215
37197,4095,1861,0,3736
37217,4095,1903,0,3432
37237,4095,1833,0,847
37257,4095,1663,415,0
37277,4095,1427,1573,501
37297,3580,1198,2245,2598
37317,2844,999,2504,4095
37337,2283,903,2538,2087
37357,1851,919,2501,0
37377,1550,975,2404,343
37397,1383,1045,2299,2975
37417,1342,1157,2221,3765
37437,1401,1255,2197,715
37457,1511,1379,2205,0
44160,1048,4095,3034,1896
44180,587,4095,2664,4059
44200,873,3323,2278,3573
44220,1557,2123,2011,889
44240,2347,1272,1865,541
